route,language,page_family,efr_score,locale_percentile,family_percentile,measured_weight,unmeasured_dimensions,status,word_count,dim_formulaicPhraseDensity,dim_formulaicSyntax,dim_genericIntroductions,dim_promotionalVagueness,dim_specificityDeficit,dim_crossPageSameness,dim_structuralTemplate,dim_punctuationFingerprint,dim_rhythmRepetition,forbidden_count,discouraged_count,density_limited_count,search_protected_count,emdash_count,negative_parallelism,triads,rhetorical_questions,distinct_specific_facts,sentences,closest_page,closest_jaccard,structure_shared_with,top_recurring_patterns,ranking_sensitivity,sensitivity_evidence,likely_upstream_source,recommended_action,confidence
/about/,en,other,14.6,64.7,79.4,100,,scored,487,0,6.31,0,8,0,0,0,0,0.29,2,0,4,32,1,0,10,1,5,43,,,0,EFR-L-003x4 EFR-F-001x1 EFR-F-004x1,unknown,no performance overlay supplied,,no action,medium
/answers/can-you-search-fancy-text/,en,answers,2.5,7.2,21.2,100,,scored,586,0,0,0,0,0,0,0.61,0.93,0.96,11,0,0,21,11,0,0,0,9,26,,,2,EFR-F-001x11,unknown,no performance overlay supplied,,no action,medium
/answers/change-font-size-on-facebook/,en,answers,2.7,8,22.7,100,,scored,521,0,1.92,0,0,0,0,0,0,0.74,3,0,0,29,3,0,5,0,7,34,,,0,EFR-F-001x3,unknown,no performance overlay supplied,,no action,medium
/answers/christmas-card-what-to-write/,en,answers,18.5,83.2,83.3,100,,scored,949,0,1.55,0,0,14.16,0,0.61,1,1.21,18,0,0,2,18,0,6,1,2,31,,,2,EFR-F-001x18,unknown,no performance overlay supplied,,monitor,low
/answers/cny-greetings-what-to-say/,en,answers,19.3,84.6,87.9,100,,scored,899,0,0,0,0,13.83,0,0.61,3.2,1.64,23,0,0,4,23,0,5,0,2,23,,,2,EFR-F-001x23,unknown,no performance overlay supplied,,monitor,low
/answers/discord-allowed-characters/,en,answers,5.8,28.7,50,100,,scored,946,0,4.48,0,0,0,0,0,0,1.33,7,0,0,63,7,0,13,0,12,47,,,0,EFR-F-001x7,unknown,no performance overlay supplied,,no action,medium
/answers/diwali-wishes-what-to-say/,en,answers,18.8,83.4,84.8,100,,scored,903,0,0.78,0,0,13.86,0,0.61,2.43,1.12,21,0,0,3,21,0,7,0,2,26,,,2,EFR-F-001x21,unknown,no performance overlay supplied,,monitor,low
/answers/do-fancy-fonts-work-on-iphone/,en,answers,0.7,0.6,0,100,,scored,674,0,0,0,0,0,0,0,0,0.71,10,0,0,21,10,0,0,0,13,35,,,0,EFR-F-001x10,unknown,no performance overlay supplied,,no action,medium
/answers/do-fancy-fonts-work-with-arabic/,en,answers,0.8,0.9,3,100,,scored,693,0,0,0,0,0,0,0,0,0.81,11,0,0,19,11,0,1,0,6,31,,,0,EFR-F-001x11,unknown,no performance overlay supplied,,no action,medium
/answers/do-fancy-fonts-work-with-vietnamese/,en,answers,5.1,25.2,47,100,,scored,1134,0,0,0,0,0,0,0.91,2.61,1.61,27,0,0,30,27,0,0,0,9,37,,,3,EFR-F-001x27,unknown,no performance overlay supplied,,no action,medium
